Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A14006_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,PCT_SE_B18002_002,PCT_SE_B18002_003
6037403404,14000US06037403404,Census Tract 4034.04,"Census Tract 4034.04, Los Angeles County, California",ca,140,0,ACSSF,5010,,,,,6,37,,,,403404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444,2648.724,0.922708522,2444,479,94,0,1671,0,101,99,19.6,3.85,0,68.37,0,4.13,4.05,95714,83,18,23,21.69,27.71
6037403405,14000US06037403405,Census Tract 4034.05,"Census Tract 4034.05, Los Angeles County, California",ca,140,0,ACSSF,5011,,,,,6,37,,,,403405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746,1292.695,1.350666876,1746,433,2,0,1166,0,83,62,24.8,0.11,0,66.78,0,4.75,3.55,111625,73,9,36,12.33,49.32
6037403406,14000US06037403406,Census Tract 4034.06,"Census Tract 4034.06, Los Angeles County, California",ca,140,0,ACSSF,5012,,,,,6,37,,,,403406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3019,6199.268,0.48699299,3019,1079,17,0,1404,0,337,182,35.74,0.56,0,46.51,0,11.16,6.03,87545,257,52,79,20.23,30.74
6037403407,14000US06037403407,Census Tract 4034.07,"Census Tract 4034.07, Los Angeles County, California",ca,140,0,ACSSF,5013,,,,,6,37,,,,403407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233,1224.02,1.824317333,2233,249,75,0,1843,0,66,0,11.15,3.36,0,82.53,0,2.96,0,140119,49,0,9,0,18.37
6037403408,14000US06037403408,Census Tract 4034.08,"Census Tract 4034.08, Los Angeles County, California",ca,140,0,ACSSF,5014,,,,,6,37,,,,403408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6434,5252.997,1.224824594,6434,1164,314,0,4262,21,240,433,18.09,4.88,0,66.24,0.33,3.73,6.73,97415,233,55,0,23.61,0
6037403500,14000US06037403500,Census Tract 4035,"Census Tract 4035, Los Angeles County, California",ca,140,0,ACSSF,5015,,,,,6,37,,,,403500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866,987.6523,1.889328831,1866,775,76,28,814,0,71,102,41.53,4.07,1.5,43.62,0,3.8,5.47,112794,165,4,85,2.42,51.52
6037403600,14000US06037403600,Census Tract 4036,"Census Tract 4036, Los Angeles County, California",ca,140,0,ACSSF,5016,,,,,6,37,,,,403600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6895,3646.981,1.890604899,6895,3244,212,451,1238,0,1298,452,47.05,3.07,6.54,17.96,0,18.83,6.56,69115,696,158,65,22.7,9.34
6037403702,14000US06037403702,Census Tract 4037.02,"Census Tract 4037.02, Los Angeles County, California",ca,140,0,ACSSF,5017,,,,,6,37,,,,403702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3747,5686.528,0.658925833,3747,2217,223,0,514,5,572,216,59.17,5.95,0,13.72,0.13,15.27,5.76,106458,125,26,42,20.8,33.6
6037403703,14000US06037403703,Census Tract 4037.03,"Census Tract 4037.03, Los Angeles County, California",ca,140,0,ACSSF,5018,,,,,6,37,,,,403703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4646,5567.717,0.834453287,4646,2814,180,0,779,0,778,95,60.57,3.87,0,16.77,0,16.75,2.04,89938,301,71,109,23.59,36.21
6037403721,14000US06037403721,Census Tract 4037.21,"Census Tract 4037.21, Los Angeles County, California",ca,140,0,ACSSF,5019,,,,,6,37,,,,403721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4869,6646.368,0.732580614,4869,2853,96,62,589,0,909,360,58.6,1.97,1.27,12.1,0,18.67,7.39,71528,550,92,180,16.73,32.73
6037403722,14000US06037403722,Census Tract 4037.22,"Census Tract 4037.22, Los Angeles County, California",ca,140,0,ACSSF,5020,,,,,6,37,,,,403722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5785,8308.701,0.696258052,5785,2786,210,38,557,10,2086,98,48.16,3.63,0.66,9.63,0.17,36.06,1.69,58829,997,316,245,31.7,24.57
6037403801,14000US06037403801,Census Tract 4038.01,"Census Tract 4038.01, Los Angeles County, California",ca,140,0,ACSSF,5021,,,,,6,37,,,,403801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6491,8929.318,0.726931167,6491,3223,182,144,1241,0,1296,405,49.65,2.8,2.22,19.12,0,19.97,6.24,72560,706,166,204,23.51,28.9
6037403802,14000US06037403802,Census Tract 4038.02,"Census Tract 4038.02, Los Angeles County, California",ca,140,0,ACSSF,5022,,,,,6,37,,,,403802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6412,12736.18,0.503447506,6412,3229,296,17,796,0,1537,537,50.36,4.62,0.27,12.41,0,23.97,8.37,70705,861,220,170,25.55,19.74
6037403901,14000US06037403901,Census Tract 4039.01,"Census Tract 4039.01, Los Angeles County, California",ca,140,0,ACSSF,5023,,,,,6,37,,,,403901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3279,6751.323,0.485682559,3279,2260,49,24,312,10,481,143,68.92,1.49,0.73,9.52,0.3,14.67,4.36,85434,165,41,46,24.85,27.88
6037403902,14000US06037403902,Census Tract 4039.02,"Census Tract 4039.02, Los Angeles County, California",ca,140,0,ACSSF,5024,,,,,6,37,,,,403902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5061,6203.354,0.815848954,5061,3618,232,74,369,0,544,224,71.49,4.58,1.46,7.29,0,10.75,4.43,73382,428,89,120,20.79,28.04
6037404000,14000US06037404000,Census Tract 4040,"Census Tract 4040, Los Angeles County, California",ca,140,0,ACSSF,5025,,,,,6,37,,,,404000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4733,9310.121,0.508371467,4733,2774,44,86,471,12,1239,107,58.61,0.93,1.82,9.95,0.25,26.18,2.26,74333,490,89,176,18.16,35.92
6037404100,14000US06037404100,Census Tract 4041,"Census Tract 4041, Los Angeles County, California",ca,140,0,ACSSF,5026,,,,,6,37,,,,404100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6849,13151.49,0.520777316,6849,2700,229,166,531,23,2736,464,39.42,3.34,2.42,7.75,0.34,39.95,6.77,62127,542,89,182,16.42,33.58
6037404201,14000US06037404201,Census Tract 4042.01,"Census Tract 4042.01, Los Angeles County, California",ca,140,0,ACSSF,5027,,,,,6,37,,,,404201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3672,10253.51,0.35812135,3672,1715,88,38,619,0,1089,123,46.7,2.4,1.03,16.86,0,29.66,3.35,49883,479,70,217,14.61,45.3
6037404202,14000US06037404202,Census Tract 4042.02,"Census Tract 4042.02, Los Angeles County, California",ca,140,0,ACSSF,5028,,,,,6,37,,,,404202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4058,16277.91,0.249294977,4058,2028,99,48,513,0,1107,263,49.98,2.44,1.18,12.64,0,27.28,6.48,64323,334,90,103,26.95,30.84
6037404301,14000US06037404301,Census Tract 4043.01,"Census Tract 4043.01, Los Angeles County, California",ca,140,0,ACSSF,5029,,,,,6,37,,,,404301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448,12740.9,0.427599278,5448,2266,95,58,404,0,2321,304,41.59,1.74,1.06,7.42,0,42.6,5.58,47375,915,313,385,34.21,42.08
6037404302,14000US06037404302,Census Tract 4043.02,"Census Tract 4043.02, Los Angeles County, California",ca,140,0,ACSSF,5030,,,,,6,37,,,,404302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190,9211.53,0.237745503,2190,763,21,0,260,0,1109,37,34.84,0.96,0,11.87,0,50.64,1.69,73452,222,58,60,26.13,27.03
